'@ @ [1/4] | Clear Quartz Woven Necklace',80000A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,'',,1,$99.99,4,$95.00,,,1,K&K400,K&K160,,,,,,
'@ @ [2/8] | Turquoise Stone/Black Crystals Necklace',82285C-TQ,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'20""L w/2"" extender'",,2,$9.99,8,$9.50,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Silver Red Bead Tassel Pendant Necklace Set',82286A-RD,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'28.5""L  PENDANT: 6.5""L EARRINGS:1""L'",,2,$12.99,12,$12.35,,,2,K&K400,K&K160,,,,,,
'[2/8] | Antique Silver/Turquoise Stone Long Tassel Necklace and Earring S',82286A-TQ,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'28""L PENDANT: 6""L EARRINGS: 1.25""L x 0.5""W'",,2,$12.99,8,$12.35,,,2,K&K400,K&K160,,,,,,
'[2/8] | Antique Silver Mini-Heart/Silver and Crystal Beaded Necklace',82300A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$6.25,,,"'18""L x 0.5""W w/2.5"" extender'",,2,$12.50,8,$11.90,,,2,K&K400,K&K160,,,,,,
'[2/12] | Cream and Golden Beige Stretch Crystal Bracelet',82305B,JWL030,20171123,In stock & shipping checked (Nov 22nd),$5.49,,,"'1""W x 3""Dia.'",,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'[1/8] | Gold with Blue Stones/Crystals Chain Necklace and Earring Set',82306A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$12.49,,,"'18""L x 0.5""W w/3"" extender EARRINGS: 1L x 1""W'",,1,$24.99,8,$23.75,,,1,K&K400,K&K160,,,,,,
'[2/8] | Blue Stones/Crystals with Blue/Gold Chain Stretch Bracelet',82306B,JWL030,20171123,In stock & shipping checked (Nov 22nd),$7.49,,,"'4""Dia.'",,2,$14.99,8,$14.25,,,2,K&K400,K&K160,,,,,,
'[2/12] | Magnetic Orange Cuff Bracelet',82312A-OR,JWL030,20171123,In stock & shipping checked (Nov 22nd),$4.25,,,"'1.25""W x 3""Dia'",,2,$8.50,12,$8.10,,,2,K&K400,K&K160,,,,,,
'[3/12] | Bright Lime Green Nugget Earrings',82312B-GR,JWL030,20171123,In stock & shipping checked (Nov 22nd),$1.99,,,"'2""L x 0.75""W'",,3,$3.99,12,$3.80,,,3,K&K400,K&K160,,,,,,
'[3/12] | Orange Nugget Earrings',82312B-OR,JWL030,20171123,In stock & shipping checked (Nov 22nd),$1.99,,,"'2""L x 0.75""W'",,3,$3.99,12,$3.80,,,3,K&K400,K&K160,,,,,,
'[3/12] | Bright Pink Nugget Earrings',82312B-PK,JWL030,20171123,In stock & shipping checked (Nov 22nd),$1.99,,,"'2""L x 0.75""W'",,3,$3.99,12,$3.80,,,3,K&K400,K&K160,,,,,,
'[3/12] | Red Nugget Earrings',82312B-RD,JWL030,20171123,In stock & shipping checked (Nov 22nd),$1.99,,,"'2""L x 0.75""W'",,3,$3.99,12,$3.80,,,3,K&K400,K&K160,,,,,,
'[2/8] | Black Knit Sweater Cape',82315A,JWL010,20171123,In stock & shipping checked (Nov 22nd),,,,"'21""L'",,2,$14.99,8,$14.25,,,2,K&K400,K&K160,,,,,,
'@ @ [2/6] | Chocalate Brown Knit Sweater Cape',82315A-CH,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'21"" L'",,2,$14.99,6,$14.25,,,2,K&K400,K&K160,,,,,,
'[1/4] | Natural Spice Tone Woven Bag with Leather Trim & Tassel',82325A,JWL020,20180323,Out of stock - order to ship after 03-23-2018,,,,"'17""H x 14""W x 5""D'",,1,$59.99,4,$57.00,,,1,K&K400,K&K160,,,,,,
'[1/4] | Navy Multi Wool Jute Bag with Leather Handles & Tassels',82326A,JWL020,20180323,Out of stock - order to ship after 03-23-2018,,,,"'16""H x 20""W'",,1,$69.99,4,$66.50,,,1,K&K400,K&K160,,,,,,
'[1/4] | Navy Multi Wool Jute Envelope Bag with Leather Trim Tassels & Cross Body',82327A,JWL020,20171123,In stock & shipping checked (Nov 22nd),,,,"'12""H x 14""W'",,1,$44.99,4,$42.75,,,1,K&K400,K&K160,,,,,,
'[2/8] | Black 100% Acrylic Knit Cozy Shrug',82329A-BK,JWL010,20180315,Out of stock - order to ship after 03-15-2018,,,,"'9""H x 12""W'",,2,$10.99,8,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/8] | Khaki Brown 100% Acrylic Knit Cozy Shrug',82329A-BR,JWL010,20180315,Out of stock - order to ship after 03-15-2018,,,,"'25""L'",,2,$10.99,8,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/8] | Sage Green 100% Acrylic Knit Cozy Shrug',82329A-GR,JWL010,20171123,In stock & shipping checked (Nov 22nd),,,,"'25""L'",,2,$10.99,8,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/12] | Gray 100% Acrylic Knit Cozy Shrug',82329A-GY,JWL010,20180315,Out of stock - order to ship after 03-15-2018,,,,"'9""H x 12""W'",,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/8] | Purple 100% Acrylic Knit Cozy Shrug',82329A-PU,JWL010,20180315,Out of stock - order to ship after 03-15-2018,,,,"'25""L'",,2,$10.99,8,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/8] | Red 100% Acrylic Knit Cozy Shrug',82329A-RD,JWL010,20171123,In stock & shipping checked (Nov 22nd),,,,"'25""L'",,2,$10.99,8,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/12] | Turquoise 100% Acrylic Knit Cozy Shrug',82329A-TQ,JWL010,20171123,In stock & shipping checked (Nov 22nd),,,,"'9""H x 12""W'",,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/8] | White 100% Acrylic Knit Cozy Shrug',82329A-WH,JWL010,20180315,Out of stock - order to ship after 03-15-2018,,,,"'25""L'",,2,$10.99,8,$10.45,,,2,K&K400,K&K160,,,,,,
'@ @ [2/8] | Antique Silver 5 Cyrstal Drop Necklace and Earring Set',82330A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'18""L w/3"" extender PENDANT: 3.25""L x 0.5""W EARRINGS: 1.75""L'",,2,$17.50,8,$16.65,,,2,K&K400,K&K160,,,,,,
'[SO][2/12] | Woven Chain Toggle Bracelet w/Crystal Heart and Charms',82333A,JWL030,20180323,Out of stock - order to ship after 03-23-2018,$2.99,,,"'8""L'",,2,$5.99,12,$5.70,,,2,K&K400,K&K160,,,,,,
'[SO][2/12] | Woven Chain Toggle Bracelet w/Heart and Crystal Charms',82334A,JWL030,20180323,Out of stock - order to ship after 03-23-2018,$2.99,,,"'8""L'",,2,$5.99,12,$5.70,,,2,K&K400,K&K160,,,,,,
'[2/12] | Burnished Gold/Enamel/Crystal Dragonfly Pendant w/Chain',82347A,JWL030,20180115,Out of stock - order to ship after 01-15-2018,,,,"'1.75""L w/3"" extender PENDANT 2.5""L x 2.25""W'",,2,$6.99,12,$6.65,,,2,K&K400,K&K160,,,,,,
'[2/12] | 7.5 Inch Necklace Display',82348A-BE,JWL060,20171123,In stock & shipping checked (Nov 22nd),$3.49,,,"'5.5""H x 7.5""W x 3""D'",,2,$6.99,12,$6.65,,,2,K&K400,K&K160,,,,,,
'[2/12] | 7.5 Inch Necklace Display',82348A-BK,JWL060,20171123,In stock & shipping checked (Nov 22nd),,,,"'5.5""H x 7.5""W x 3""D'",,2,$6.99,12,$6.65,,,2,K&K400,K&K160,,,,,,
'[2/12] | 9.8 Inch Necklace Display',82348B-BE,JWL060,20171123,In stock & shipping checked (Nov 22nd),,,,"'10""H x 11.5""W x 6""D'",,2,$14.99,12,$14.25,,,2,K&K400,K&K160,,,,,,
'[2/12] | 9.8 Inch Necklace Display',82348B-BK,JWL060,20171123,In stock & shipping checked (Nov 22nd),,,,"'10""H x 11.5""W x 6""D'",,2,$14.99,12,$14.25,,,2,K&K400,K&K160,,,,,,
'[2/10] | 13 Inch Necklace Display',82348C-BK,JWL060,20171123,In stock & shipping checked (Nov 22nd),,,,"'13""H x 12""W x 5""D'",,2,$9.99,10,$9.50,,,2,K&K400,K&K160,,,,,,
'[1/4] | 13.4 Inch Necklace Display',82348D-BE,JWL060,20171123,In stock & shipping checked (Nov 22nd),,,,"'13""H x 12""W x 10""D'",,1,$19.99,4,$19.00,,,1,K&K400,K&K160,,,,,,
'[1/4] | 13.4 Inch Necklace Display',82348D-BK,JWL060,20171123,In stock & shipping checked (Nov 22nd),,,,"'13""H x 12""W x 10""D'",,1,$19.99,4,$19.00,,,1,K&K400,K&K160,,,,,,
'[2/8] | 14 Inch Necklace Display',82348E-BE,JWL060,20171123,In stock & shipping checked (Nov 22nd),,,,"'15""H x 11""W x 5""D'",,2,$19.99,8,$19.00,,,2,K&K400,K&K160,,,,,,
'[2/8] | 14 Inch Necklace Display',82348E-BK,JWL060,20171123,In stock & shipping checked (Nov 22nd),,,,"'15""H x 11""W x 5""D'",,2,$19.99,8,$19.00,,,2,K&K400,K&K160,,,,,,
'[2/8] | 14.2 Inch Necklace Display',82348F-BE,JWL060,20171123,In stock & shipping checked (Nov 22nd),,,,"'14""H x 8.5""W x 7""D'",,2,$19.99,8,$19.00,,,2,K&K400,K&K160,,,,,,
'[2/8] | 14.2 Inch Necklace Display',82348F-BK,JWL060,20171123,In stock & shipping checked (Nov 22nd),,,,"'14""H x 8.5""W x 7""D'",,2,$19.99,8,$19.00,,,2,K&K400,K&K160,,,,,,
'[2/6] | 15 Inch Necklace Display',82348G-BE,JWL060,20171123,In stock & shipping checked (Nov 22nd),,,,"'13""H x 8.25""W x 4.5""D'",,2,$24.99,6,$23.75,,,2,K&K400,K&K160,,,,,,
'[2/6] | 15 Inch Necklace Display',82348G-BK,JWL060,20171123,In stock & shipping checked (Nov 22nd),,,,"'13""H x 8.25""W x 4.5""D'",,2,$24.99,6,$23.75,,,2,K&K400,K&K160,,,,,,
'[2/12] | 19 Inch Necklace Display',82348H-BE,JWL060,20171123,In stock & shipping checked (Nov 22nd),,,,"'19""H x 8""W x 8""D'",,2,$29.99,12,$28.50,,,2,K&K400,K&K160,,,,,,
'[2/12] | 19 Inch Necklace Display',82348H-BK,JWL060,20171123,In stock & shipping checked (Nov 22nd),,,,"'19""H x 8""W x 8""D'",,2,$29.99,12,$28.50,,,2,K&K400,K&K160,,,,,,
'[1/24] | Mannequin Jewelry Stand',82348J-BE,JWL060,20171123,In stock & shipping checked (Nov 22nd),,,,"'23""H x 6""W x 6""D'",,1,$24.99,24,$23.75,,,1,K&K400,K&K160,,,,,,
'@ @ [2/12] | Silver and Pearl Necklace and Earring Set',82356A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'19""L x .5""W w/3"" extender EARRING: 1.5""L x 0.5""W'",,2,$8.99,12,$8.55,,,2,K&K400,K&K160,,,,,,
'[2/12] | Silver Multi Mini Bangle Bracelet',82359A-SI,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'3.25""Dia.'",,2,$5.99,12,$5.70,,,2,K&K400,K&K160,,,,,,
'[3/12] | Gold and Pearl Linked Bracelet with Extender Chain',82364A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$1.99,,,"'7""L x .5""W w/1.5"" extender'",,3,$3.99,12,$3.80,,,3,K&K400,K&K160,,,,,,
'[3/12] | Antique Gold Blessed Adjustable Bangle Bracelet/Cross Charm',82368A-GD,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.49,,,"'2.5""Dia.'",,3,$4.99,12,$4.75,,,3,K&K400,K&K160,,,,,,
'[2/12] | Gold and Pearl Linked Necklace and Earring Set',82370A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'8""L w/2"" extender EARRING: 0.5""L x 0.25""W'",,2,$6.50,12,$6.20,,,2,K&K400,K&K160,,,,,,
'[SO][2/12] | Black Acrylic Knit Shrug with Button',82371A-BK,JWL010,20180323,Out of stock - order to ship after 03-23-2018,,,,"'32""L'",,2,$12.50,12,$11.90,,,2,K&K400,K&K160,,,,,,
'[2/12] | Rose Gold with Orange/White/Black Scooter Key Chain with Toggle',82375A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.75,,,'',,2,$5.50,12,$5.25,,,2,K&K400,K&K160,,,,,,
'[2/12] | Gold/Black & White Sneaker Key Chain with Toggle',82377A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.75,,,'',,2,$5.50,12,$5.25,,,2,K&K400,K&K160,,,,,,
'[2/12] | Crystal Rose Silver/Black/White Sports Car Key Chain with Toggle',82378A-BKWH,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.99,,,'',,2,$5.99,12,$5.70,,,2,K&K400,K&K160,,,,,,
'[2/12] | Crystal Rose Gold/Pink/White Sports Car Key Chain with Toggle',82378A-PKWH,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.99,,,'',,2,$5.99,12,$5.70,,,2,K&K400,K&K160,,,,,,
'[3/12] | Antique Bronze & Crystal Dragonfly Key Chain with Toggle',82380A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'4.5""L'",,3,$3.99,12,$3.80,,,3,K&K400,K&K160,,,,,,
'@ @ [4/12] | Silver Trust in the Lord Bracelet with Crystal Cross',82383A-SI,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'2.5""Dia.'",,4,$4.99,12,$4.74,,,4,K&K400,K&K160,,,,,,
'[2/12] | Antique Brass/Clear Crystal Drop Chain Earrings on Wire Hooks',82385A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$2.99,,,'',,2,$5.99,12,$5.70,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Brass/Clear Crystal Double Chain Vintage Necklace',82386A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$6.25,,,"'17""L x .75""W'",,2,$12.50,12,$11.90,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Antique Brass Multi Chain Vintage Necklace with Clear/Black Crystal',82388A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'30""L x 1.25""W'",,2,$9.99,12,$9.49,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Brass Double Chain Necklace/Earring Set with Oval Opal Crys',82392A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$8.75,,,'',,2,$17.50,12,$16.65,,,2,K&K400,K&K160,,,,,,
'[2/12] | Vintage Antique Brass Triple Chain and Opal Crystal Disc Bracelet',82394A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$6.25,,,'',,2,$12.50,12,$11.90,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Brass/Vintage Green Crystal Necklace and Earring Set',82397A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'EARRINGS 2.75""L x 2""W NECKLACE 21""L x 2""W'",,2,$19.99,12,$19.00,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Brass/Vintage Green Crystal Hoop Bracelet with Toggle Closu',82398A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$4.99,,,"'7""L x 2""W'",,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'@ @ [6/12] | Assorted Wine Bottle Necklaces',82399A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'6""H x 1.75""W'",,6,$4.99,12,$4.74,,,6,K&K400,K&K160,,,,,,
'@ @ [3/12] | Assorted Inspirational Antique Silver Key Chains with Toggle Hook',82403A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'6""H x 1.75""W x .5""D'",,3,$4.99,12,$4.75,,,3,K&K400,K&K160,,,,,,
'@ @ [12/36] | Assorted Antique Silver Holiday Charm Bangle Bracelets',82407A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'PENDANT Grad. Sizes 1.25""L'",,12,$4.99,36,$4.75,,,12,K&K400,K&K160,,,,,,
'[3/24] | Linen Snap Cuff Bracelet Display',82409A,JWL060,20171123,In stock & shipping checked (Nov 22nd),,,,"'3""H x 3.5""W x 4""D'",,3,$3.99,24,$3.80,,,3,K&K400,K&K160,,,,,,
'[3/12] | Linen Snap Necklace Display',82409B,JWL060,20171123,In stock & shipping checked (Nov 22nd),,,,"'5""H x 5.5""W x 6""D'",,3,$4.99,12,$4.75,,,3,K&K400,K&K160,,,,,,
'[2/12] | String Mini Mannequin in Natural',82409E,JWL060,20171123,In stock & shipping checked (Nov 22nd),,,,"'11.5""H x 10.5""W x 3.75""D'",,2,$25.99,12,$24.70,,,2,K&K400,K&K160,,,,,,
'[2/12] | Linen High Neck Necklace Display',82409F,JWL060,20171123,In stock & shipping checked (Nov 22nd),,,,"'19""H x 8""W x 8""D'",,2,$24.99,12,$23.75,,,2,K&K400,K&K160,,,,,,
'@ @ [SO][3/18] | Silver and Crystal Cross Bracelet',82412A-SI,JWL030,20180323,Out of stock - order to ship after 03-23-2018,,,,"'1/16""W x 2""Dia. w/ 1.5"" extender'",,3,$4.99,18,$4.75,,,3,K&K400,K&K160,,,,,,
'@ @ [2/12] | Woven Fresh Water Pearl Button Toggle Necklace',82413A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'21""L x .25""W w/ 1"" extender'",,2,$12.99,12,$12.35,,,2,K&K400,K&K160,,,,,,
'[2/12] | Woven Turquoise Button Toggle Necklace',82414A-TQ,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'21""L x .5""W w/ 1"" extender'",,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Knotted Fresh Water Pearl with Magnetic Pave Clasp Bracelet',82415A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'7.5""L x .5""W'",,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'[2/12] | Knotted Fresh Water Pearl Necklace Set',82416A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'40""L x .25""W EARRINGS: 1.5""L x .25""W'",,2,$19.99,12,$19.00,,,2,K&K400,K&K160,,,,,,
'[SO][2/12] | Gold and Crystal Hoop Earrings',82418A,JWL030,20180323,Out of stock - order to ship after 03-23-2018,$3.99,,,"'2""Dia.'",,2,$7.99,12,$7.60,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Silver Aztec Inspired Stretch Bracelet',82419A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.99,,,"'1.25""W x 2.5""Dia.'",,2,$7.99,12,$7.60,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Antique Silver Aztec Inspired Crystal Necklace and Earring Set',82420A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'18.5""L w/ 3.5"" extender PENDANT: 3.5""W EARRINGS: 2""L x .5""W'",,2,$17.50,12,$16.65,,,2,K&K400,K&K160,,,,,,
'[2/12] | Silver Double Chain Curved Bar with Crystal Accents Necklace',82424A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'14.75""L w/ 3"" extender'",,2,$6.99,12,$6.65,,,2,K&K400,K&K160,,,,,,
'[2/12] | Matte Silver Elongated Cross on Long Chain',82426A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'36""L w/ 2.5"" extender PENDANT: 4""L x 2""W'",,2,$5.99,12,$5.70,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Silver Adjustable Bangle Tree of Life Charm Bracelet',82439A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'2.5""Dia. PENDANT: 1.25""L'",,2,$6.50,12,$6.20,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Rose Gold Wide Chain Crystal Accented Bracelet with Lobster',82444A-GD,JWL030,20171123,In stock & shipping checked (Nov 22nd),$4.49,,,"'7.75""L w/.75"" extender x.75""W'",,2,$8.99,12,$8.55,,,2,K&K400,K&K160,,,,,,
'[1/6] | Triple Strand Multi Agate and Crystal Necklace and Earring Set',82446A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$17.49,,,"'19.5""L w/ 2.5"" extender EARRINGS: 1.5""L'",,1,$34.99,6,$33.25,,,1,K&K400,K&K160,,,,,,
'[2/12] | Gold with Black Accents Disc and Chain Necklace Set',82447A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$6.25,,,"'35""L w/ 2.5"" extender PENDANT: .75""L EARRINGS:1""L'",,2,$12.50,12,$11.90,,,2,K&K400,K&K160,,,,,,
'[SO][2/12] | Burnished Gold and Green Vintage Necklace Set',82450A-GDGR,JWL030,20180323,Out of stock - order to ship after 03-23-2018,,,,"'18.5""L w/ 3"" extender PENDANT: .75""W EARRINGS:1.25""L'",,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Silver and Crystal Mini Chandelier Hoop Earring',82451A-SI,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.25,,,"'1.25""L x .75""W'",,2,$6.50,12,$6.20,,,2,K&K400,K&K160,,,,,,
'[SO][2/12] | Antique Silver and Crystal Native Inspired Necklace Set',82452A,JWL030,20180323,Out of stock - order to ship after 03-23-2018,,,,"'16.5""L w/ 3"" extender PENDANT: 1""L EARRINGS:1""L'",,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Silver Gold/Copper Multi Cross Charm Necklace Set',82453A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'19""L w/ 3"" extender PENDANT: 2""L x 1.5""W EARRINGS: 1.25""L'",,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Silver and Copper Cross Charms on Pearl Chain Necklace',82457A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'18""L w/ 3"" extender PENDANT: 1.25""L EARRINGS: 1""L'",,2,$7.99,12,$7.60,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Bronze and Fresh Water Pearl Multi Cross Pendant Necklace S',82459A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$3.75,,,"'18""L w/ 2.5"" extender PENDANT: 1.25""L EARRINGS:1""L'",,2,$7.50,12,$7.15,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Antique Silver Black Diamond Crystal Diamond Pattern Waterfall Earr',82462A-BL,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'2""L x 2""W'",,2,$7.99,12,$7.60,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Silver and Crystal Diamond Pattern Waterfall Earrings',82462A-SI,JWL030,20171123,In stock & shipping checked (Nov 22nd),$4.99,,,"'2""L x 1""W'",,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Pearl and Gold Disc Necklace Set',82464A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'19""L w/ 2"" extender x .5""W EARRINGS: 1.25""L'",,2,$19.99,12,$19.00,,,2,K&K400,K&K160,,,,,,
'[2/12] | White Pearl and Gold Disc Stretch Bracelet',82464B,JWL030,20171123,In stock & shipping checked (Nov 22nd),$6.49,,,"'2""Dia.iamter x .5""W'",,2,$12.99,12,$12.35,,,2,K&K400,K&K160,,,,,,
'[2/12] | Antique Silver Double Chain with Turquoise Aquamarine Crystal Stone & P',82465A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'30""L w/ 2.5"" extender PENDANT: 2.5""L'",,2,$12.99,12,$12.35,,,2,K&K400,K&K160,,,,,,
'@ @ [5/20] | Silver Crystal Bangle Bracelet',82466A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'2.5""Dia. x .25""W'",,5,$2.99,20,$2.85,,,5,K&K400,K&K160,,,,,,
'[2/12] | Silver and Crystal Heart Toggle Bracelet',82469A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$4.25,,,"'7.5""L PENDANT: 1.5""L'",,2,$8.50,12,$8.10,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Silver Crystal Inside Outside Round Hoop Earrings',82477A,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'1.5""Dia.'",,2,$6.99,12,$6.65,,,2,K&K400,K&K160,,,,,,
'@ @ [SO][2/12] | Pearl with Crystal Pendant and Toggle Necklace Set',82478A,JWL030,20180323,Out of stock - order to ship after 03-23-2018,,,,"'18.5""L PENDANT: 2""L x 1""W EARRINGS:1.5""L'",,2,$12.50,12,$11.90,,,2,K&K400,K&K160,,,,,,
'[SO][2/12] | Antique Silver and Crystal Multi Disc Necklace Set',82480A,JWL030,20180323,Out of stock - order to ship after 03-23-2018,,,,"'18.5""L w/ 2"" extender EARRINGS: 1.25""L'",,2,$12.99,12,$12.35,,,2,K&K400,K&K160,,,,,,
'[2/12] | Pave Crystal and Silver Eternity Loop Necklace Set With Toggle Clos',82483A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$11.25,,,"'17.5""L  EARRINGS: .75""L'",,2,$22.50,12,$21.40,,,2,K&K400,K&K160,,,,,,
'[3/18] | Gold and Diamond Dust Hinged Bangle Bracelet',82484A-GD,JWL030,20180101,Out of stock - order to ship after 01-01-2018,,,,"'2.5""Dia. x .5""W'",,3,$5.99,18,$5.70,,,3,K&K400,K&K160,,,,,,
'[3/18] | Silver and Diamond Dust Crystal Hinged Bangle Bracelet',82484A-SI,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'2.5""Dia. x .5""W'",,3,$5.99,18,$5.70,,,3,K&K400,K&K160,,,,,,
'[2/12] | Graduated Large Turquoise Beaded Necklace Set',82487A,JWL030,20171123,In stock & shipping checked (Nov 22nd),$5.49,,,"'18""L w/ 3"" extender EARRINGS: 1.25""L'",,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'[2/12] | Gold Multi Fine Chain with Crystal Heart Adjustable Bracelet',82488A-GD,JWL030,20171123,In stock & shipping checked (Nov 22nd),$5.49,,,"'7.5""L w/ 2.5"" extender x 1.25""W'",,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'@ @ [2/12] | Hematite Multi Fine Chain with Crystal Heart Adjustable Bracelet',82488A-HEM,JWL030,20171123,In stock & shipping checked (Nov 22nd),,,,"'7.5""L w/ 2.5"" extender x 1.25""W'",,2,$9.99,12,$9.50,,,2,K&K400,K&K160,,,,,,
'[2/12] | Silver Multi Fine Chain with Crystal Heart Adjustable Bracelet',82488A-SI,JWL030,20171123,In stock & shipping checked (Nov 22nd),$5.49,,,"'7.5""L w/ 2.5"" extender x 1.25""W'",,2,$10.99,12,$10.45,,,2,K&K400,K&K160,,,,,,
'[3/12] | Assorted Animal Print Pashmina with Fringe Scarf (Red Turquoise Pur',82491A-ASST3,JWL010,20171123,In stock & shipping checked (Nov 22nd),$3.25,,,"'68""L x 25""W'",,3,$6.50,12,$6.20,,,3,K&K400,K&K160,,,,,,
'[3/12] | Assorted Paisley Pashmina Fringe Scarf (Blue Red & Brown)',82492A-ASST3,JWL010,20171123,In stock & shipping checked (Nov 22nd),$3.49,,,"'68""L x 28""W'",,3,$6.99,12,$6.65,,,3,K&K400,K&K160,,,,,,
'[2/12] | Assorted Blue and Cream Basketweave Knit Infinity',82499A-BLCR,JWL010,20171123,In stock & shipping checked (Nov 22nd),$3.75,,,"'56""L x 16""W'",,2,$7.50,12,$7.15,,,2,K&K400,K&K160,,,,,,
'[3/12] | Assorted Lattice Weave Knit Infintiy Scarves (Brown Cream and Latt',82500A-ASST3,JWL010,20171123,In stock & shipping checked (Nov 22nd),,,,"'48""L x 16""W'",,3,$7.50,12,$7.15,,,3,K&K400,K&K160,,,,,,
