[u'8054'],"8""X12"" Pine Board",Home /|New Mexico Flag,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8054.jpg
"[u'8037', u'Must', u'be', u'Paradise!']","0



8x12 inches

Sun and Sand Beer on Ice Must be Paradise!",Home /|Sun and Sand Beer on Ice Must be Paradise!,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_56.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Mustard board w/ black text |Black board w/ tan text |Country Blue board w/ white text |Sage Green board w/ Black text |Burgundy Red board w/ tan text |Give me the best color combo(s) available ']"
[u'5719'],"100



6""X12""
Quote by Winston Churchill","Home /|If you're going through hell, keep going. Winston Churchill",https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/7/5719_1.jpg,"['*Color Combinations', '', '-- Please Select --|Sage box w/ White text |Cream box w/ Black text |White box w/ Black text ']"
"[u'Style', u'G', u'The', u'sign', u'is', u'a', u'painted', u'black', u'board', u'with', u'tan', u'letters', u'(as', u'shown)', u'or', u'a', u'cream', u'board', u'with', u'black', u'letters.', u'Final', u'board', u'length', u'depends', u'upon', u'number', u'of', u'letters', u'in', u'your', u'name.', u'Signs', u'come', u'on', u'a', u'Pine', u'board', u'and', u'is', u'intended', u'for', u'inside', u'use', u'only.', u'PLEASE', u'ENTER', u'THE', u'NAME', u'AS', u'YOU', u'WANT', u'IT', u'TO', u'APPEAR', u'ON', u'THE', u'SIGN.', u'IF', u'YOU', u'WANT', u'A', u'S', u'OR', u'AN', u""'S"", u'ON', u'THE', u'END', u'OF', u'THE', u'NAME,', u'PLEASE', u'INCLUDE', u'IT.']","8""X16 up to 24"" depending on letters in your name.

If you have two names we will stack the Names. See picture.

This design is selected my many younger families. Great gift for weddings and anniversaries. Get one for yourself, and for your family members. This would look good above your fireplace in the family room.  Our signs are for interior

Sign 907G",Home /|The (your Family Name) Home,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/u/guild_mortgage_family_signs_small.jpg,"['*Family name as you would like it to appear', '', '-- Please Select --|Black board w/ Tan text & White text ']"
[u'104'],4x15 inches,Home /|Up North,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/0/104.jpg,"['*Color Combinations - (See color chart above)', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
"[u'45441', u'Gift', u'Card', u'$75.00']","Can't decide which of our signs would go best with your loved one's decor? Let them make their own selections. Give them one of our Jones' Rustic Signs Gift Cards. We will e-mail them, (or send them a card in the mail), with your message and the gift card amount and instructions on how to redeem your gift.

0",Home /|Gift Card $75.00,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_2.jpg,"['*Send Gift Card Via', 'E-Mail|Home Address', '']"
[u'511P'],"0



6x12 inches

Pool-side Memories",Home /|Pool-side Memories,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/1/511p.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
[u'6001'],6x18 inches,Home /|A beautiful soul...lives forever,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6001.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'8006'],"8x30 inches
Good advice on how to be happy.",Home /|In a world where you can be anything Be Yourself,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_29.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
"[u'45444', u'Gift', u'Card', u'$200.00']","Can't decide which of our signs would go best with your loved one's decor? Let them make their own selections. Give them one of our Jones' Rustic Signs Gift Cards. We will e-mail them, (or send them a card in the mail), with your message and the gift card amount and instructions on how to redeem your gift.

0",Home /|Gift Card $200.00,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_5.jpg,"['*Send Gift Card Via', 'E-Mail|Home Address', '']"
"[u'5826HW', u'Sub', u'Way', u'Art']","8""X18"" inches Wooden Box Sign

0



 ",Home /|Halloween Box Sign,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/8/5826hwsmall.jpg,"['*Color Combinations', '', '-- Please Select --|Orange board w/ White, Yellow & Black text ']"
[u'131'],4x20 inches,Home /|Count your blessings,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/131_1.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
[u'6042'],6x36 inches,Home /|What lies behind us and what lies before us are tiny matters compared to what lies within us,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6042.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
"[u'5821', u'This', u'is', u'one', u'of', u'our', u'new', u'hot', u'selling', u'box', u'signs.']","8""X 14"" inches This is one of our new box signs! THE PESSIMIST COMPLAINS ABOUT THE WIND THE OPTIMIST EXPECTS IT TO CHANGE THE REALIST ADJUST THE SAILS.

0",Home /|The Pessimist..The Optimist..The Realist,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/8/5821.jpg,"['*Color Combinations', '', '-- Please Select --|Give me the best color combo(s) available |Cream box w/ Black text |Light Blue box w White text |White box w/ Black text |Black box w/ White text |Sage Green box w/ White text ']"
"[u'picture', u'frame.', u'Handmade', u'and', u'hand', u'painted', u'by', u'one', u'of', u'our', u'artist.']","10""X10"" on a 1 1/2"" box. Fits your 4"" X 6"" photo.
Box picture frame. Handmade and hand painted by one of our artist.",Home /|Mr. & Mrs.,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/r/mr_mrs_2.jpg,"['*Color Combinations', '', '-- Please Select --|As shown, White box, Black text ']"
[u'109'],"3x9 inches
Colors in stock limited for sale price.
We have white bkgrnd. w/ blk. letters, blk. bkgrnd. w/ wht. letters and wht. ckl. w/ blk letters.",Home /|Trick or Treat with candy corns,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_4_19.jpg,"['*Color Combinations - (See color chart above)', '', '-- Please Select --|Cream board w/ Black text |Crackle Cream board w/ Black text |White board w/ Black text |Crackle White board w/ Black text |Black board w/ Cream text |Give me the best color combo(s) available ']"
[u'146'],"4x25 inches
One of our best selling signs for everyone, especially the student.",Home /|Wish It.. Dream It.. Do It..,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/4/146_1.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
[u'133'],4x9 inches,Home /|Scrooge lives here,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/133.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
[u'6036'],6x24 inches,Home /|The best way to predict the future is to create it,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6036.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'1450'],"Box sign 12""X18"" tall, Antique look
White Wooden Box with Black Letters",Home /|Creamery - dairy FRESH,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/4/1450small.jpg,"['*Color Combinations', '', '-- Please Select --|White wood Box, Black Letters ']"
[u'8050'],"0



8""X10""",Home /|Good DAY Sun SHINE,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8050_sm.jpg,"['*Color Combinations', '', '-- Please Select --|Yellow board w/ White text |Teal board w/ White text |Teal board w/ Black text |White board w/ Lt Blue text ']"
[u'6077'],"0



Candy Canes with artwork
6""X12""",Home /|Candy Canes,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6077.jpg,"['*Color Combinations', '', '-- Please Select --|Red board w/ White text |Green board w/ White text |Give me the best color combo(s) available ']"
[u'8015'],8x12 inches,"Home /|Only as high as I reach can I grow, Only as far as I seek can I go, Only as keep as I look can I see, Only as much as I dream can I be",https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8015.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'8040'],"8x18 inches

0",Home /|I can't promise that I'll be here for the rest of your life,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8040b.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ black text |Black board w/ Cream text |Sage Green board w/ black text |Burgundy Red board w/ Cream text |Country Blue board w/ white text |Mustard board w/ black text |Give me the best color combo(s) available ']"
"[u'Box', u'picture', u'frame', u'with', u'Boy', u'Name', u'and', u'date.', u'Handmade', u'and', u'hand', u'painted', u'by', u'one', u'of', u'our', u'artist.']","10""X10"" on a 1 1/2"" deep box. Fits your 4"" X 6"" photo.
Blue Frame with White text, or Black Frame with White text.
Custom Box picture frame with Boy Name and date. Handmade and hand painted by one of our artist.",Home /|Custom Picture Frame BOY,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/h/photo_box_blue.jpg,"['*Name', '', '-- Please Select --|Black frame, White text |As shown,Blue frame, White texttext ']"
[u'6027'],6x18 inches,Home /|Live well Laugh often Love much (vertical),https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6027_2_1.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'4009'],"4x30 inches

I know that I hate them. A wonderful sign for Mom or you!","Home /|I hate four letter words...Wash, Cook, Dust & Iron",https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_30.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black  text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
"[u'are', u'sheep,', u'some', u'are', u'wolves,', u'God', u'made', u'me', u'a', u'sheepdog']","8"" X 12""

0","Home /|Most are sheep, some are wolves",https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/8/5829_crkred.jpg,"['*Color Combinations', '', '-- Please Select --|Crackle board w/ Black text |Crackle board w/ Navy text |Crackle board w/ Red text |Cream board / Navy text |Cream board w/ Red text |White board w/ Black text |White board w/ Navy text |White board w/ Red text |Cream board w/ Black text ']"
"[u'Item', u'008']","4x22 inches

Just the right size for a laundry room",Home /|Laundry,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/0/0/008_1.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
"[u'917CatA', u'Your', u""Cat's"", u'Name', u'with', u'dish', u'and', u'Fish', u'Bones.']","0




4"" X 15"" up to 18"" depending on length of name
Put your cat's name up over their bed or feeding dish",Home /|Your Cat's Name,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/9/1/917cata.jpg,"[""*Cat's Name"", '', '-- Please Select --|Cream Board |White Board |-- Please Select --|Blue |Green |Pink |Red ']"
"[u'126', u'Please', u'choose', u'a', u'direction', u'for', u'the', u'arrow', u'in', u'the', u'space', u'provided.']","8x14 inches

Please choose a direction for the arrow in the space provided.",Home /|Lake with arrow,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/2/126.jpg,"['*Arrow Direction', '', '-- Please Select --|Arrow pointing to LEFT |Arrow pointing to RIGHT |-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Give me the best color combo(s) available ']"
[u'8046'],"0



8""X10""
Item 8046",Home /|I live in a madhouse ruled by a tiny ARMY that I created myself.,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8046.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'6055'],"6x24 inches

0","Home /|Some people WANT it to happen, some WISH it to happen, others MAKE it happen.-Michael Jordan",https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_51.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
[u'4013'],"4x24 inches
Live well and shop often",Home /|Live well and shop often,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/0/4013_1.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
[u'138'],6x26 inches Great for Family Room or Dinning Room.,Home /|The Gathering Room,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/3/138.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
[u'302'],"0



4x25 inches",Home /|Wipe your feet (vertical),https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_66.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
[u'744'],4x9 inches,Home /|Oh! My Stars!,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/4/744.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
[u'6071'],"6x18 inches

0",Home /|Life just hasn't been the same since that house fell on my sister-Wicked witch of the west,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/i/file_5_57.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Black board w/ Cream text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Mustard board w/ black text |Country Blue board w/ white text |Give me the best color combo(s) available ']"
"[u'ultimate', u'measure', u'of', u'a', u'man', u'is', u'not', u'where', u'he', u'sands', u'in', u'moments', u'of', u'comfort', u'and', u'convenience,', u'but', u'where', u'he', u'sands', u'at', u'times', u'of', u'Challenge', u'and', u'Controversy.', u'-', u'Martin', u'Luther', u'King', u'Jr.']","8 X 18 inches Item 8045

0",Home /|The Ultimate measure of a man - Martin Luther King Jr,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/l/mlk2.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text ']"
[u'148'],4x22 inches,Home /|Bless All Who Enter,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/4/148.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
[u'527'],"0



4x22 inches

Never Trust a Skinny Cook",Home /|Never Trust a Skinny Cook,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/5/2/527.jpg,"['*Color Combinations', '', '-- Please Select --|Cream board w/ Black text |Cream board w/ Navy Blue text |Cream board w/ Hunter Green text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Black text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Hunter Green text |Crackle Cream board w/ Burgundy Red text |White board w/ Black text |White board w/ Wedgewood Blue text |White board w/ Sage Green text |White board w/ Rose text |White board w/ Mustard text |Crackle White board w/ Black text |Crackle White board w/ Wedgewood Blue text |Crackle White board w/ Sage Green text |Crackle White board w/ Rose text |Crackle White board w/ Mustard text |Black board w/ Cream text |Navy Blue board w/ Cream text |Hunter Green board w/ Cream text |Sage Green board w/ White text |Sage Green board w/ Black text |Burgundy Red board w/ Cream text |Give me the best color combo(s) available ']"
[u'8049'],"0



You are my sunshine my only sunshine.....
8""X12""",Home /|You are my Sunshine,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8049_2_sm.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Give me the best color combo(s) available |Cream board w/ Black text |Mustard board w/ Black text ']"
[u'1405'],"""Big Box"" Sign 9"" X 42"" tall, Antique look
White Wooden Box with Black Letters",Home /|WELCOME,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/w/e/welcome2.jpg,"['*Color Combinations', '', '-- Please Select --|Black wood Box, White Letters |White wood Box, Black Letters ']"
[u'128'],"8 X 16 inches
God Bless America",Home /|God Bless America,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/2/128_1.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Cream board w/ Navy Blue text |Cream board w/ Burgundy Red text |Crackle Cream board w/ Navy Blue text |Crackle Cream board w/ Burgundy Red text |Give me the best color combo(s) available ']"
[u'6051'],"6x24 inches
We are family",Home /|We are family,https://www.jonesrusticsigns.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/6/0/6051_1.jpg,"['*Color Combinations - See color chart above', '', '-- Please Select --|Burgundy Red board w/ Cream text |Black board w/ Cream text |Sage Green board w/ Black text |Cream board w/ Black text |Mustard board w/ Black text |Country Blue board w/ White text |Give me the best color combo(s) available ']"
